timestamp,left,mid,right
2025-11-04T16:16:37,877,168,1125
2025-11-04T16:16:39,818,589,566
2025-11-04T16:16:41,740,517,431
2025-11-04T16:16:43,697,704,801
2025-11-04T16:16:45,878,831,815
2025-11-04T16:16:47,806,773,835
2025-11-04T16:16:49,808,768,415
2025-11-04T16:16:51,756,727,460
2025-11-04T16:16:53,859,817,473
2025-11-04T16:16:55,801,555,419
2025-11-04T16:16:58,251,320,791
2025-11-04T16:17:00,748,705,485
2025-11-04T16:17:02,507,227,867
2025-11-04T16:17:04,857,737,386
2025-11-04T16:17:06,784,705,164
2025-11-04T16:17:08,834,171,1128
2025-11-04T16:17:10,817,787,507
2025-11-04T16:17:14,837,821,1017
2025-11-04T16:17:16,783,726,468
2025-11-04T16:17:18,773,755,866
2025-11-04T16:17:20,945,864,214
2025-11-04T16:17:22,783,732,744
2025-11-04T16:17:24,715,697,416
2025-11-04T16:17:26,843,788,190
2025-11-04T16:17:28,753,716,867
2025-11-04T16:17:30,756,720,604
2025-11-04T16:17:32,811,788,213
2025-11-04T16:17:34,814,728,279
2025-11-04T16:17:36,852,292,964
